Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000044,UAE,2264995.4809810887,Property Purchase,2013-01-02 19:00:00,Person_2537,Casinos,Singapore,False,Illegal,5,0,Bank_247,Cayman Islands
TX0000000045,Russia,4688572.21488847,Cash Withdrawal,2013-01-02 20:00:00,Person_943,Finance,China,False,Legal,9,6,Bank_190,Cayman Islands
TX0000000046,Switzerland,587176.9398665124,Stocks Transfer,2013-01-02 21:00:00,Person_479,Real Estate,China,False,Legal,6,3,Bank_76,Bahamas
TX0000000047,China,1724208.6825087771,Property Purchase,2013-01-02 22:00:00,Person_21,Luxury Goods,South Africa,False,Illegal,7,9,Bank_466,Luxembourg
TX0000000048,Singapore,84887.50304758118,Property Purchase,2013-01-02 23:00:00,Person_7362,Finance,South Africa,False,Legal,3,2,Bank_191,Luxembourg
TX0000000049,UAE,270522.17629495775,Cash Withdrawal,2013-01-03 00:00:00,Person_4829,Construction,China,False,Legal,1,0,Bank_71,Switzerland
TX0000000050,Russia,1473321.8975690813,Cash Withdrawal,2013-01-03 01:00:00,Person_2327,Oil & Gas,South Africa,False,Illegal,8,1,Bank_287,Bahamas
TX0000000051,South Africa,799056.6380165347,Property Purchase,2013-01-03 02:00:00,Person_9899,Real Estate,China,False,Illegal,4,9,Bank_72,Singapore
TX0000000052,Switzerland,964719.8399996273,Offshore Transfer,2013-01-03 03:00:00,Person_298,Construction,China,False,Legal,10,2,Bank_42,Cayman Islands
TX0000000053,Brazil,917555.3952730651,Stocks Transfer,2013-01-03 04:00:00,Person_3863,Construction,India,False,Illegal,1,2,Bank_49,Switzerland
TX0000000054,South Africa,1980946.9914259436,Cash Withdrawal,2013-01-03 05:00:00,Person_9641,Arms Trade,Brazil,False,Illegal,9,5,Bank_18,Singapore
TX0000000055,China,3432916.8981406474,Cryptocurrency,2013-01-03 06:00:00,Person_892,Casinos,China,False,Illegal,9,7,Bank_174,Panama
TX0000000056,Brazil,4295546.671660348,Cash Withdrawal,2013-01-03 07:00:00,Person_8609,Oil & Gas,Singapore,False,Legal,9,0,Bank_340,Singapore
TX0000000057,USA,1351396.9617012118,Cryptocurrency,2013-01-03 08:00:00,Person_592,Casinos,China,True,Legal,8,9,Bank_63,Cayman Islands
TX0000000058,Russia,65964.20043916962,Property Purchase,2013-01-03 09:00:00,Person_1172,Luxury Goods,Singapore,True,Legal,10,6,Bank_3,Bahamas
TX0000000059,Brazil,813473.9930748636,Property Purchase,2013-01-03 10:00:00,Person_3900,Oil & Gas,UK,False,Legal,4,0,Bank_187,Bahamas
TX0000000060,South Africa,3970617.9319809433,Offshore Transfer,2013-01-03 11:00:00,Person_1992,Arms Trade,Russia,False,Illegal,1,2,Bank_110,Bahamas
TX0000000061,USA,1581520.6008291917,Property Purchase,2013-01-03 12:00:00,Person_5231,Oil & Gas,Russia,True,Legal,4,6,Bank_479,Cayman Islands
TX0000000062,USA,1164391.1219521705,Cryptocurrency,2013-01-03 13:00:00,Person_9220,Luxury Goods,UAE,False,Illegal,7,9,Bank_418,Singapore
TX0000000063,USA,2177304.122384783,Stocks Transfer,2013-01-03 14:00:00,Person_6310,Real Estate,Russia,False,Illegal,10,9,Bank_146,Bahamas
TX0000000064,South Africa,2524958.981476108,Cash Withdrawal,2013-01-03 15:00:00,Person_7570,Casinos,USA,False,Illegal,3,5,Bank_337,Cayman Islands
TX0000000065,Singapore,2311265.4908066555,Property Purchase,2013-01-03 16:00:00,Person_6019,Arms Trade,Russia,False,Legal,5,4,Bank_154,Bahamas
TX0000000066,USA,4033119.7397169373,Cash Withdrawal,2013-01-03 17:00:00,Person_9886,Finance,UK,False,Illegal,2,3,Bank_296,Panama
TX0000000067,USA,1904412.4504995933,Offshore Transfer,2013-01-03 18:00:00,Person_9544,Arms Trade,India,False,Illegal,7,0,Bank_187,Bahamas
TX0000000068,Brazil,2075346.0012763327,Property Purchase,2013-01-03 19:00:00,Person_1710,Real Estate,South Africa,False,Illegal,7,4,Bank_18,Switzerland
TX0000000069,Russia,2952314.5495621976,Offshore Transfer,2013-01-03 20:00:00,Person_9460,Oil & Gas,Russia,False,Illegal,4,7,Bank_491,Bahamas
TX0000000070,Brazil,2053475.3677998185,Cryptocurrency,2013-01-03 21:00:00,Person_5888,Luxury Goods,Switzerland,True,Illegal,9,1,Bank_424,Singapore
TX0000000071,Switzerland,159132.31092934392,Cash Withdrawal,2013-01-03 22:00:00,Person_7747,Finance,South Africa,False,Illegal,1,9,Bank_146,Cayman Islands
TX0000000072,Russia,4717525.259034962,Offshore Transfer,2013-01-03 23:00:00,Person_4245,Construction,Singapore,True,Legal,3,1,Bank_268,Bahamas
TX0000000073,South Africa,1070754.7844087004,Cryptocurrency,2013-01-04 00:00:00,Person_3517,Oil & Gas,India,False,Legal,7,6,Bank_362,Bahamas
TX0000000074,South Africa,4342358.351874137,Property Purchase,2013-01-04 01:00:00,Person_3557,Arms Trade,Russia,False,Illegal,3,6,Bank_15,Panama
TX0000000075,China,3372288.164464324,Cash Withdrawal,2013-01-04 02:00:00,Person_9513,Finance,Brazil,True,Legal,1,3,Bank_157,Switzerland
TX0000000076,UK,3458156.4344139365,Stocks Transfer,2013-01-04 03:00:00,Person_2872,Finance,Brazil,False,Legal,4,1,Bank_15,Cayman Islands
TX0000000077,Switzerland,1511361.9477742277,Offshore Transfer,2013-01-04 04:00:00,Person_5913,Finance,India,False,Illegal,5,1,Bank_328,Panama
TX0000000078,Brazil,683434.1331475772,Property Purchase,2013-01-04 05:00:00,Person_981,Finance,South Africa,False,Illegal,5,5,Bank_368,Switzerland
TX0000000079,Switzerland,2794778.4849210083,Cash Withdrawal,2013-01-04 06:00:00,Person_7103,Finance,India,False,Illegal,6,8,Bank_137,Bahamas
TX0000000080,India,2442766.0083655803,Offshore Transfer,2013-01-04 07:00:00,Person_5722,Real Estate,UAE,False,Illegal,9,3,Bank_432,Cayman Islands
TX0000000081,UAE,4982819.1593042305,Cryptocurrency,2013-01-04 08:00:00,Person_4157,Oil & Gas,UAE,False,Illegal,9,7,Bank_237,Singapore
TX0000000082,UAE,235725.02663009614,Stocks Transfer,2013-01-04 09:00:00,Person_9236,Construction,UK,False,Legal,7,2,Bank_226,Luxembourg
TX0000000083,UK,4909232.798144015,Property Purchase,2013-01-04 10:00:00,Person_508,Oil & Gas,Brazil,False,Illegal,6,0,Bank_180,Switzerland
TX0000000084,USA,241596.01444947213,Cash Withdrawal,2013-01-04 11:00:00,Person_2786,Finance,Switzerland,False,Illegal,8,4,Bank_198,Singapore
TX0000000085,Brazil,1585310.5472231035,Stocks Transfer,2013-01-04 12:00:00,Person_8997,Arms Trade,UK,False,Illegal,1,6,Bank_320,Luxembourg
TX0000000086,Brazil,3788729.495297676,Offshore Transfer,2013-01-04 13:00:00,Person_69,Casinos,Switzerland,False,Legal,9,6,Bank_462,Panama
TX0000000087,Switzerland,3558410.5212000115,Offshore Transfer,2013-01-04 14:00:00,Person_7486,Casinos,UK,False,Illegal,10,1,Bank_183,Cayman Islands
TX0000000088,South Africa,3808337.89419509,Stocks Transfer,2013-01-04 15:00:00,Person_4296,Oil & Gas,Brazil,False,Illegal,9,6,Bank_404,Singapore
TX0000000089,India,2599743.9238180085,Stocks Transfer,2013-01-04 16:00:00,Person_2439,Luxury Goods,Russia,False,Legal,2,1,Bank_380,Singapore
TX0000000090,USA,2801902.6914760037,Property Purchase,2013-01-04 17:00:00,Person_173,Construction,USA,False,Illegal,6,7,Bank_195,Bahamas
TX0000000091,India,626582.5149832732,Property Purchase,2013-01-04 18:00:00,Person_2660,Casinos,Singapore,False,Legal,7,9,Bank_43,Panama
TX0000000092,Russia,4173901.170437627,Cryptocurrency,2013-01-04 19:00:00,Person_9354,Luxury Goods,Switzerland,False,Illegal,9,0,Bank_87,Luxembourg
TX0000000093,India,2636848.581949823,Offshore Transfer,2013-01-04 20:00:00,Person_7169,Finance,UAE,True,Illegal,3,9,Bank_262,Cayman Islands
TX0000000094,Brazil,2585900.064265159,Cryptocurrency,2013-01-04 21:00:00,Person_9009,Oil & Gas,India,False,Illegal,10,8,Bank_283,Switzerland
TX0000000095,Russia,305379.7166258775,Offshore Transfer,2013-01-04 22:00:00,Person_9788,Oil & Gas,Russia,False,Legal,3,2,Bank_352,Luxembourg
TX0000000096,USA,1890855.1844464268,Cash Withdrawal,2013-01-04 23:00:00,Person_5611,Real Estate,Switzerland,False,Illegal,6,5,Bank_272,Panama
TX0000000097,Russia,2212450.5423344662,Cryptocurrency,2013-01-05 00:00:00,Person_4479,Luxury Goods,Switzerland,False,Illegal,10,0,Bank_395,Cayman Islands
TX0000000098,Switzerland,2647815.2124856114,Stocks Transfer,2013-01-05 01:00:00,Person_4435,Construction,India,False,Legal,4,3,Bank_439,Switzerland
TX0000000099,China,3892983.765945813,Offshore Transfer,2013-01-05 02:00:00,Person_3189,Finance,India,True,Illegal,4,3,Bank_493,Cayman Islands
TX0000000100,India,1160839.8071097026,Cryptocurrency,2013-01-05 03:00:00,Person_2291,Finance,India,False,Illegal,6,7,Bank_288,Switzerland
TX0000000101,Russia,3987347.9547394384,Stocks Transfer,2013-01-05 04:00:00,Person_2910,Arms Trade,South Africa,False,Illegal,8,7,Bank_339,Luxembourg
TX0000000102,UK,3530304.2141148355,Offshore Transfer,2013-01-05 05:00:00,Person_4769,Luxury Goods,USA,False,Legal,2,9,Bank_24,Switzerland
TX0000000103,India,3736809.9094015127,Cash Withdrawal,2013-01-05 06:00:00,Person_4542,Arms Trade,UAE,False,Illegal,5,1,Bank_285,Switzerland
TX0000000104,China,2217803.597263577,Cash Withdrawal,2013-01-05 07:00:00,Person_3226,Casinos,India,False,Illegal,8,1,Bank_378,Bahamas
TX0000000105,Russia,316641.4874675102,Cash Withdrawal,2013-01-05 08:00:00,Person_4798,Construction,India,False,Illegal,8,3,Bank_120,Luxembourg
TX0000000106,Russia,979848.7292252762,Stocks Transfer,2013-01-05 09:00:00,Person_4977,Oil & Gas,Russia,True,Illegal,8,9,Bank_35,Switzerland
TX0000000107,China,4335717.148329776,Cryptocurrency,2013-01-05 10:00:00,Person_9717,Casinos,South Africa,True,Illegal,6,2,Bank_411,Panama
TX0000000108,China,3944972.154083673,Offshore Transfer,2013-01-05 11:00:00,Person_5533,Construction,UK,False,Legal,8,9,Bank_165,Panama
TX0000000109,South Africa,869588.7030914702,Stocks Transfer,2013-01-05 12:00:00,Person_661,Luxury Goods,USA,False,Illegal,6,5,Bank_138,Panama
TX0000000110,Brazil,4904774.250429274,Property Purchase,2013-01-05 13:00:00,Person_4795,Real Estate,South Africa,True,Illegal,7,9,Bank_160,Luxembourg
TX0000000111,China,2888191.4146318813,Stocks Transfer,2013-01-05 14:00:00,Person_3072,Arms Trade,Russia,False,Legal,6,8,Bank_490,Luxembourg
TX0000000112,UAE,3599502.6027718494,Offshore Transfer,2013-01-05 15:00:00,Person_2911,Construction,Singapore,True,Legal,2,9,Bank_60,Luxembourg
TX0000000113,Brazil,2488024.31405234,Offshore Transfer,2013-01-05 16:00:00,Person_2000,Construction,Switzerland,False,Illegal,10,1,Bank_409,Switzerland
TX0000000114,Switzerland,4546033.568267053,Property Purchase,2013-01-05 17:00:00,Person_4923,Arms Trade,India,False,Illegal,10,8,Bank_401,Luxembourg
TX0000000115,South Africa,511746.82881257567,Property Purchase,2013-01-05 18:00:00,Person_6663,Construction,South Africa,False,Illegal,5,5,Bank_173,Luxembourg
TX0000000116,India,4706996.877077932,Cash Withdrawal,2013-01-05 19:00:00,Person_1230,Finance,UK,True,Legal,9,8,Bank_264,Switzerland
TX0000000117,China,4408358.741333239,Offshore Transfer,2013-01-05 20:00:00,Person_5656,Finance,USA,False,Illegal,8,2,Bank_213,Singapore
TX0000000118,Singapore,640092.1328406113,Offshore Transfer,2013-01-05 21:00:00,Person_9769,Real Estate,USA,False,Legal,2,1,Bank_422,Bahamas
TX0000000119,Switzerland,2173854.2485409887,Stocks Transfer,2013-01-05 22:00:00,Person_5905,Arms Trade,Brazil,False,Illegal,5,6,Bank_258,Bahamas
TX0000000120,China,1701022.3420704436,Cryptocurrency,2013-01-05 23:00:00,Person_8383,Real Estate,USA,False,Legal,1,6,Bank_356,Singapore
TX0000000121,Switzerland,2938291.206722741,Property Purchase,2013-01-06 00:00:00,Person_1145,Finance,Switzerland,False,Illegal,8,3,Bank_467,Luxembourg
TX0000000122,UAE,89483.03192545587,Cash Withdrawal,2013-01-06 01:00:00,Person_5295,Luxury Goods,UK,False,Illegal,10,4,Bank_100,Switzerland
TX0000000123,USA,3002499.8297716733,Property Purchase,2013-01-06 02:00:00,Person_7378,Real Estate,USA,True,Illegal,1,7,Bank_459,Singapore
TX0000000124,UAE,2837646.9979134602,Stocks Transfer,2013-01-06 03:00:00,Person_7432,Construction,India,False,Illegal,4,9,Bank_216,Switzerland
TX0000000125,USA,3336075.8494047476,Property Purchase,2013-01-06 04:00:00,Person_8881,Finance,India,False,Legal,7,0,Bank_80,Bahamas
TX0000000126,UK,2180248.902259793,Stocks Transfer,2013-01-06 05:00:00,Person_8385,Real Estate,Singapore,True,Illegal,10,7,Bank_234,Luxembourg
TX0000000127,Switzerland,2759018.4367119004,Cash Withdrawal,2013-01-06 06:00:00,Person_239,Oil & Gas,Brazil,False,Illegal,9,0,Bank_26,Switzerland
TX0000000128,China,313188.6489854198,Offshore Transfer,2013-01-06 07:00:00,Person_2175,Finance,Russia,False,Illegal,9,4,Bank_74,Bahamas
TX0000000129,India,2476294.500136936,Property Purchase,2013-01-06 08:00:00,Person_3364,Real Estate,USA,False,Illegal,4,9,Bank_124,Cayman Islands
TX0000000130,Russia,3402633.435319728,Property Purchase,2013-01-06 09:00:00,Person_5865,Luxury Goods,Singapore,False,Legal,1,5,Bank_232,Panama
TX0000000131,Singapore,3382689.3442017785,Property Purchase,2013-01-06 10:00:00,Person_5801,Construction,Russia,True,Illegal,5,1,Bank_95,Panama
TX0000000132,Singapore,3048535.3462314242,Property Purchase,2013-01-06 11:00:00,Person_206,Arms Trade,USA,False,Illegal,3,4,Bank_495,Bahamas
TX0000000133,South Africa,2267348.554988389,Offshore Transfer,2013-01-06 12:00:00,Person_3663,Finance,China,False,Illegal,5,6,Bank_391,Panama
TX0000000134,Singapore,1119119.0298204543,Property Purchase,2013-01-06 13:00:00,Person_3060,Construction,UAE,False,Illegal,2,9,Bank_442,Cayman Islands
TX0000000135,UAE,3446563.6818175944,Cryptocurrency,2013-01-06 14:00:00,Person_1053,Construction,China,False,Illegal,5,5,Bank_285,Luxembourg
TX0000000136,China,3277808.9068753654,Offshore Transfer,2013-01-06 15:00:00,Person_803,Casinos,China,True,Illegal,6,0,Bank_45,Singapore
TX0000000137,China,2106374.664105717,Stocks Transfer,2013-01-06 16:00:00,Person_1488,Finance,UK,False,Legal,6,6,Bank_242,Switzerland
TX0000000138,China,870563.3884277783,Stocks Transfer,2013-01-06 17:00:00,Person_5997,Construction,USA,False,Legal,8,0,Bank_148,Luxembourg
TX0000000139,Singapore,4101265.114051999,Cash Withdrawal,2013-01-06 18:00:00,Person_7018,Luxury Goods,UAE,False,Illegal,5,6,Bank_147,Luxembourg
TX0000000140,UAE,359089.23270346323,Offshore Transfer,2013-01-06 19:00:00,Person_4929,Oil & Gas,Switzerland,True,Illegal,6,6,Bank_126,Singapore
TX0000000141,Russia,4887537.297923046,Property Purchase,2013-01-06 20:00:00,Person_9163,Casinos,Russia,False,Legal,8,1,Bank_101,Cayman Islands
TX0000000142,UAE,2773974.413561693,Stocks Transfer,2013-01-06 21:00:00,Person_4942,Real Estate,Brazil,False,Illegal,1,0,Bank_244,Panama
TX0000000143,Russia,1314593.5057222946,Stocks Transfer,2013-01-06 22:00:00,Person_2712,Real Estate,UK,False,Illegal,9,4,Bank_244,Switzerland
TX0000000144,South Africa,1109089.7067622808,Cash Withdrawal,2013-01-06 23:00:00,Person_6013,Finance,UK,False,Legal,1,8,Bank_116,Switzerland
TX0000000145,South Africa,946205.8533505853,Cash Withdrawal,2013-01-07 00:00:00,Person_5803,Casinos,UK,False,Illegal,4,8,Bank_57,Panama
TX0000000146,India,4231632.382813335,Cash Withdrawal,2013-01-07 01:00:00,Person_4283,Finance,UAE,False,Illegal,6,2,Bank_123,Luxembourg
TX0000000147,India,1794369.6009381267,Cash Withdrawal,2013-01-07 02:00:00,Person_3803,Construction,Switzerland,False,Illegal,5,1,Bank_276,Bahamas
TX0000000148,India,2848046.7672684514,Cash Withdrawal,2013-01-07 03:00:00,Person_5397,Finance,India,False,Illegal,6,9,Bank_13,Singapore
TX0000000149,UK,177312.49299509046,Cryptocurrency,2013-01-07 04:00:00,Person_9023,Construction,Singapore,False,Illegal,7,0,Bank_82,Luxembourg
TX0000000150,USA,413299.8004565094,Cash Withdrawal,2013-01-07 05:00:00,Person_4019,Real Estate,Singapore,False,Legal,3,3,Bank_36,Singapore
TX0000000151,UK,1014299.2798520821,Cryptocurrency,2013-01-07 06:00:00,Person_555,Casinos,India,False,Illegal,7,1,Bank_417,Singapore
TX0000000152,UAE,3868014.290793895,Cash Withdrawal,2013-01-07 07:00:00,Person_9297,Construction,Singapore,False,Legal,5,2,Bank_50,Panama
TX0000000153,South Africa,1462085.2378350436,Property Purchase,2013-01-07 08:00:00,Person_3690,Real Estate,Singapore,False,Illegal,10,6,Bank_10,Singapore
TX0000000154,China,3257364.857301784,Property Purchase,2013-01-07 09:00:00,Person_1354,Real Estate,Brazil,False,Legal,7,1,Bank_297,Cayman Islands
TX0000000155,China,4870071.1308322335,Stocks Transfer,2013-01-07 10:00:00,Person_2600,Finance,South Africa,False,Illegal,10,3,Bank_80,Singapore
TX0000000156,Russia,3678440.9795042644,Stocks Transfer,2013-01-07 11:00:00,Person_226,Luxury Goods,Singapore,False,Illegal,9,1,Bank_402,Cayman Islands
TX0000000157,Switzerland,4629993.5053727245,Stocks Transfer,2013-01-07 12:00:00,Person_6505,Real Estate,USA,False,Illegal,8,1,Bank_298,Cayman Islands
TX0000000158,Switzerland,4390545.994155095,Cash Withdrawal,2013-01-07 13:00:00,Person_3320,Arms Trade,India,False,Legal,9,6,Bank_427,Panama
TX0000000159,USA,317657.8488617299,Stocks Transfer,2013-01-07 14:00:00,Person_2341,Real Estate,USA,False,Illegal,9,9,Bank_252,Switzerland
TX0000000160,China,3202900.800132572,Property Purchase,2013-01-07 15:00:00,Person_5022,Arms Trade,USA,True,Illegal,6,5,Bank_496,Switzerland
TX0000000161,Russia,3494363.162730536,Property Purchase,2013-01-07 16:00:00,Person_3531,Luxury Goods,UAE,False,Legal,9,9,Bank_88,Bahamas
TX0000000162,Russia,246106.25210684875,Cash Withdrawal,2013-01-07 17:00:00,Person_2686,Real Estate,South Africa,False,Illegal,4,3,Bank_323,Cayman Islands
TX0000000163,Switzerland,1658946.4370373792,Property Purchase,2013-01-07 18:00:00,Person_3815,Finance,UK,True,Illegal,1,3,Bank_365,Cayman Islands
TX0000000164,UK,1202908.9820910296,Offshore Transfer,2013-01-07 19:00:00,Person_881,Oil & Gas,USA,True,Illegal,5,7,Bank_216,Singapore
TX0000000165,China,2658981.3007394853,Property Purchase,2013-01-07 20:00:00,Person_2334,Real Estate,Brazil,False,Legal,2,3,Bank_290,Bahamas
TX0000000166,Singapore,1799638.5269757002,Offshore Transfer,2013-01-07 21:00:00,Person_6948,Oil & Gas,USA,False,Illegal,5,0,Bank_22,Luxembourg
TX0000000167,Switzerland,4502528.458233045,Cryptocurrency,2013-01-07 22:00:00,Person_736,Oil & Gas,South Africa,False,Illegal,9,0,Bank_247,Panama
TX0000000168,Switzerland,2946942.8750005513,Cryptocurrency,2013-01-07 23:00:00,Person_7565,Arms Trade,South Africa,False,Legal,10,6,Bank_67,Luxembourg
TX0000000169,South Africa,4479438.4683038015,Cash Withdrawal,2013-01-08 00:00:00,Person_4324,Oil & Gas,Russia,False,Illegal,6,0,Bank_339,Cayman Islands
TX0000000170,India,3014579.446166728,Stocks Transfer,2013-01-08 01:00:00,Person_8641,Luxury Goods,Brazil,False,Illegal,6,9,Bank_466,Luxembourg
TX0000000171,China,3811305.9619661975,Cash Withdrawal,2013-01-08 02:00:00,Person_2480,Finance,UK,False,Illegal,8,1,Bank_94,Switzerland
TX0000000172,UAE,1886919.0061802517,Cryptocurrency,2013-01-08 03:00:00,Person_2642,Arms Trade,USA,False,Legal,1,5,Bank_245,Luxembourg
TX0000000173,South Africa,1443373.640509893,Cash Withdrawal,2013-01-08 04:00:00,Person_8068,Oil & Gas,Russia,False,Illegal,4,9,Bank_23,Switzerland
