Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10
89,Amadeus,1984,R,160,"Biography, Drama, Music",88.0,51.97,8.4
90,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,"Action, Adventure",85.0,248.16,8.4
91,The Boat,1981,R,149,"Drama, War",86.0,11.49,8.4
92,The Shining,1980,R,146,"Drama, Horror",66.0,44.02,8.4
93,High and Low,1963,Not Rated,143,"Crime, Drama, Mystery",90.0,#87,8.4
94,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,"Comedy, War",97.0,0.28,8.4
95,Witness for the Prosecution,1957,Approved,116,"Crime, Drama, Mystery",76.0,8.18,8.4
96,Paths of Glory,1957,Approved,88,"Drama, War",90.0,#60,8.4
97,Sunset Blvd.,1950,Passed,110,"Drama, Film-Noir",,#59,8.4
98,The Great Dictator,1940,G,125,"Comedy, Drama, War",,0.29,8.4
99,Chhichhore,2019,Not Rated,143,"Comedy, Drama, Romance",,0.90,8.3
100,Raatchasan,2018,Not Rated,170,"Crime, Drama, Mystery",,,8.3
101,Ayla: The Daughter of War,2017,,125,"Biography, Drama, History",,,8.3
102,Vikram Vedha,2017,Not Rated,147,"Action, Crime, Drama",,,8.3
103,Dangal,2016,Not Rated,161,"Action, Biography, Drama",,12.39,8.3
104,Drishyam,2013,Not Rated,160,"Crime, Drama, Thriller",,,8.3
105,The Hunt,2012,R,115,Drama,77.0,0.69,8.3
106,A Separation,2011,PG-13,123,Drama,95.0,7.10,8.3
107,Incendies,2010,R,131,"Drama, Mystery",80.0,6.86,8.3
108,K.G.F: Chapter 2,2022,Not Rated,168,"Action, Crime, Drama",,,8.3
109,Up,2009,PG,96,"Animation, Adventure, Comedy",88.0,293.00,8.3
110,Toy Story 3,2010,G,103,"Animation, Adventure, Comedy",92.0,415.00,8.3
111,Inglourious Basterds,2009,R,153,"Adventure, Drama, War",69.0,120.54,8.3
112,Eternal Sunshine of the Spotless Mind,2004,R,108,"Drama, Romance, Sci-Fi",89.0,34.40,8.3
113,Amélie,2001,R,122,"Comedy, Romance",69.0,33.23,8.3
114,Requiem for a Dream,2000,R,102,Drama,68.0,3.64,8.3
115,Good Will Hunting,1997,R,126,"Drama, Romance",70.0,138.43,8.3
116,Toy Story,1995,G,81,"Animation, Adventure, Comedy",95.0,191.80,8.3
117,Heat,1995,R,170,"Action, Crime, Drama",76.0,67.44,8.3
118,Reservoir Dogs,1992,R,99,"Crime, Thriller",79.0,2.83,8.3
119,Full Metal Jacket,1987,R,116,"Drama, War",76.0,46.36,8.3
120,Once Upon a Time in America,1984,R,229,"Crime, Drama",75.0,5.32,8.3
121,Scarface,1983,R,170,"Crime, Drama",65.0,45.60,8.3
122,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,"Action, Adventure, Fantasy",58.0,309.13,8.3
123,The Sting,1973,PG,129,"Comedy, Crime, Drama",83.0,159.60,8.3
124,A Clockwork Orange,1971,R,136,"Crime, Sci-Fi",77.0,6.21,8.3
125,2001: A Space Odyssey,1968,G,149,"Adventure, Sci-Fi",84.0,56.95,8.3
126,To Kill a Mockingbird,1962,Approved,129,"Crime, Drama",88.0,#109,8.3
127,Lawrence of Arabia,1962,Approved,218,"Adventure, Biography, Drama",100.0,44.82,8.3
128,Judgment at Nuremberg,1961,Approved,179,"Drama, War",60.0,#134,8.3
129,The Apartment,1960,Approved,125,"Comedy, Drama, Romance",94.0,18.60,8.3
130,North by Northwest,1959,Approved,136,"Action, Adventure, Mystery",98.0,13.28,8.3
131,Vertigo,1958,PG,128,"Mystery, Romance, Thriller",100.0,3.20,8.3
132,Pather Panchali,1955,Not Rated,125,Drama,,0.54,8.3
133,Singin' in the Rain,1952,G,103,"Comedy, Musical, Romance",99.0,8.82,8.3
134,Ikiru,1952,Not Rated,143,Drama,91.0,0.06,8.3
135,Bicycle Thieves,1948,Not Rated,89,Drama,,0.33,8.3
136,Double Indemnity,1944,Passed,107,"Crime, Drama, Film-Noir",95.0,5.72,8.3
137,Citizen Kane,1941,PG,119,"Drama, Mystery",100.0,1.59,8.3
138,M,1931,Passed,99,"Crime, Mystery, Thriller",,0.03,8.3
139,Metropolis,1927,Not Rated,153,"Drama, Sci-Fi",98.0,1.24,8.3
140,The Kid,1921,Passed,68,"Comedy, Drama, Family",,5.45,8.3
141,1917,2019,R,119,"Action, Drama, War",78.0,159.23,8.2
142,Uri: The Surgical Strike,2019,Not Rated,138,"Action, Drama, History",,4.19,8.2
143,Tumbbad,2018,Not Rated,104,"Drama, Fantasy, Horror",,,8.2
144,Andhadhun,2018,Not Rated,139,"Comedy, Crime, Music",,1.37,8.2
145,K.G.F: Chapter 1,2018,Not Rated,156,"Action, Crime, Drama",,,8.2
146,Green Book,2018,PG-13,130,"Biography, Comedy, Drama",69.0,85.08,8.2
147,Baahubali 2: The Conclusion,2017,Not Rated,167,"Action, Drama",,20.19,8.2
148,Drishyam,2015,Not Rated,163,"Crime, Drama, Mystery",,0.74,8.2
149,Bhaag Milkha Bhaag,2013,Not Rated,186,"Biography, Drama, Sport",,1.63,8.2
150,Inside Out,I 2015,PG,95,"Animation, Adventure, Comedy",94.0,356.46,8.2
151,Gangs of Wasseypur,2012,Not Rated,321,"Action, Comedy, Crime",89.0,,8.2
152,Paan Singh Tomar,2012,Not Rated,135,"Action, Biography, Crime",,0.04,8.2
153,Zindagi Na Milegi Dobara,2011,Not Rated,155,"Comedy, Drama, Musical",,3.11,8.2
154,The Secret in Their Eyes,2009,R,129,"Drama, Mystery, Romance",80.0,6.39,8.2
155,Warrior,2011,PG-13,140,"Action, Drama, Sport",71.0,13.66,8.2
156,Shutter Island,2010,R,138,"Mystery, Thriller",63.0,128.01,8.2
157,Demon Slayer the Movie: Mugen Train,2020,R,117,"Animation, Action, Adventure",72.0,47.70,8.2
158,Spider-Man: No Way Home,2021,PG-13,148,"Action, Adventure, Fantasy",71.0,804.75,8.2
159,Miracle in Cell No. 7,2019,TV-14,132,Drama,,,8.2
160,The Father,I 2020,PG-13,97,"Drama, Mystery",88.0,#130,8.2
161,The Wolf of Wall Street,2013,R,180,"Biography, Comedy, Crime",75.0,116.90,8.2
162,No Country for Old Men,2007,R,122,"Crime, Drama, Thriller",92.0,74.28,8.2
163,My Father and My Son,2005,Not Rated,112,"Drama, Family",,#232,8.2
164,There Will Be Blood,2007,R,158,Drama,93.0,40.22,8.2
165,Pan's Labyrinth,2006,R,118,"Drama, Fantasy, War",98.0,37.63,8.2
166,V for Vendetta,2005,R,132,"Action, Drama, Sci-Fi",62.0,70.51,8.2
167,Batman Begins,2005,PG-13,140,"Action, Crime, Drama",70.0,206.85,8.2
168,Swades,2004,Not Rated,189,"Drama, Musical",,1.22,8.2
169,Downfall,2004,R,156,"Biography, Drama, History",82.0,5.51,8.2
170,Howl's Moving Castle,2004,PG,119,"Animation, Adventure, Family",80.0,4.71,8.2
171,A Beautiful Mind,2001,PG-13,135,"Biography, Drama",72.0,170.74,8.2
172,Kill Bill: Vol. 1,2003,R,111,"Action, Crime, Drama",69.0,70.10,8.2
173,Finding Nemo,2003,G,100,"Animation, Adventure, Comedy",90.0,380.84,8.2
174,Snatch,2000,R,102,"Comedy, Crime",55.0,30.33,8.2
175,The Sixth Sense,1999,PG-13,107,"Drama, Mystery, Thriller",64.0,293.51,8.2
176,"Lock, Stock and Two Smoking Barrels",1998,R,107,"Action, Comedy, Crime",66.0,3.90,8.2
177,The Truman Show,1998,PG,103,"Comedy, Drama",90.0,125.62,8.2
178,L.A. Confidential,1997,R,138,"Crime, Drama, Mystery",91.0,64.62,8.2
179,Children of Heaven,1997,PG,89,"Drama, Family, Sport",77.0,0.93,8.2
180,Casino,1995,R,178,"Crime, Drama",73.0,42.44,8.2
181,Jurassic Park,1993,PG-13,127,"Action, Adventure, Sci-Fi",68.0,402.45,8.2
182,Unforgiven,1992,R,130,"Drama, Western",85.0,101.16,8.2
183,Indiana Jones and the Last Crusade,1989,PG-13,127,"Action, Adventure",65.0,197.17,8.2
184,Die Hard,1988,R,132,"Action, Thriller",72.0,83.01,8.2
185,Ran,1985,R,162,"Action, Drama, War",96.0,4.14,8.2
186,The Thing,1982,R,109,"Horror, Mystery, Sci-Fi",57.0,13.78,8.2
187,Raging Bull,1980,R,129,"Biography, Drama, Sport",89.0,23.38,8.2
188,The Elephant Man,1980,PG,124,"Biography, Drama",78.0,#155,8.2
189,Taxi Driver,1976,R,114,"Crime, Drama",94.0,28.26,8.2
190,Monty Python and the Holy Grail,1975,PG,91,"Adventure, Comedy, Fantasy",91.0,1.23,8.2
191,Dersu Uzala,1975,G,142,"Adventure, Biography, Drama",,#245,8.2
192,Chinatown,1974,R,130,"Drama, Mystery, Thriller",92.0,8.49,8.2
193,Z,1969,M/PG,127,"Crime, Drama, Thriller",86.0,0.08,8.2
194,For a Few Dollars More,1965,R,132,Western,74.0,15.00,8.2
195,The Great Escape,1963,Approved,172,"Adventure, Drama, History",86.0,12.10,8.2
196,Yojimbo,1961,Not Rated,110,"Action, Drama, Thriller",93.0,#144,8.2
197,Some Like It Hot,1959,Passed,121,"Comedy, Music, Romance",98.0,25.00,8.2
198,The Bridge on the River Kwai,1957,PG,161,"Adventure, Drama, War",87.0,44.91,8.2
199,Dial M for Murder,1954,PG,105,"Crime, Thriller",75.0,0.01,8.2
200,Tokyo Story,1953,Not Rated,136,Drama,,#208,8.2
201,The Wages of Fear,1953,Not Rated,131,"Adventure, Drama, Thriller",85.0,#192,8.2
202,Umberto D.,1952,Not Rated,89,Drama,92.0,0.07,8.2
203,Rashomon,1950,Not Rated,88,"Crime, Drama, Mystery",98.0,0.10,8.2
204,All About Eve,1950,Passed,138,Drama,98.0,0.01,8.2
205,The Treasure of the Sierra Madre,1948,Passed,126,"Adventure, Drama, Western",98.0,5.01,8.2
206,To Be or Not to Be,1942,Passed,99,"Comedy, Romance, War",86.0,#227,8.2
207,Gone with the Wind,1939,Passed,238,"Drama, Romance, War",97.0,198.68,8.2
208,The Passion of Joan of Arc,1928,Passed,114,"Biography, Drama, History",,0.02,8.2
209,The General,1926,Passed,67,"Action, Adventure, Comedy",,1.03,8.2
210,The Gold Rush,1925,Passed,95,"Adventure, Comedy, Drama",,5.45,8.2
211,Sherlock Jr.,1924,Passed,45,"Action, Comedy, Romance",,0.98,8.2
212,Portrait of a Lady on Fire,2019,R,122,"Drama, Romance",95.0,3.76,8.1
213,Everything Everywhere All at Once,2022,R,139,"Action, Adventure, Comedy",81.0,,8.1
214,Pink,III 2016,Not Rated,136,"Crime, Drama, Thriller",,1.24,8.1
215,A Silent Voice: The Movie,2016,Not Rated,130,"Animation, Drama",78.0,,8.1
216,"Three Billboards Outside Ebbing, Missouri",2017,R,115,"Comedy, Crime, Drama",88.0,54.51,8.1
217,Talvar,2015,Not Rated,132,"Crime, Drama, Mystery",,0.34,8.1
218,Klaus,2019,PG,96,"Animation, Adventure, Comedy",65.0,#183,8.1
219,Masaan,2015,A,109,Drama,,,8.1
220,The Handmaiden,2016,Not Rated,145,"Drama, Romance, Thriller",84.0,2.01,8.1
221,Bajrangi Bhaijaan,2015,Not Rated,163,"Action, Adventure, Comedy",,8.18,8.1
222,Queen,2013,Not Rated,146,"Adventure, Comedy, Drama",,1.43,8.1
223,Logan,2017,R,137,"Action, Drama, Sci-Fi",77.0,226.28,8.1
224,Room,I 2015,R,118,"Drama, Thriller",86.0,14.68,8.1
225,Wild Tales,2014,R,122,"Comedy, Drama, Thriller",77.0,3.11,8.1
226,Tangerines,2013,Not Rated,87,"Drama, War",73.0,0.14,8.1
227,Winter Sleep,2014,Not Rated,196,Drama,88.0,0.17,8.1
228,PK,2014,Not Rated,153,"Comedy, Drama, Sci-Fi",,10.62,8.1
229,OMG: Oh My God!,2012,Not Rated,125,"Comedy, Drama, Fantasy",,0.92,8.1
230,The Grand Budapest Hotel,2014,R,99,"Adventure, Comedy, Crime",88.0,59.10,8.1
231,Gone Girl,2014,R,149,"Drama, Mystery, Thriller",79.0,167.77,8.1
232,Wolf Children,2012,PG,117,"Animation, Drama, Family",71.0,,8.1
233,Hacksaw Ridge,2016,R,139,"Biography, Drama, History",71.0,67.21,8.1
234,Barfi!,2012,Not Rated,151,"Comedy, Drama, Romance",,2.80,8.1
235,12 Years a Slave,2013,R,134,"Biography, Drama, History",96.0,56.67,8.1
236,Rush,I 2013,R,123,"Action, Biography, Drama",74.0,26.95,8.1
237,Ford v Ferrari,2019,PG-13,152,"Action, Biography, Drama",81.0,117.62,8.1
238,Spotlight,I 2015,R,129,"Biography, Crime, Drama",93.0,45.06,8.1
239,Kahaani,2012,Not Rated,122,"Mystery, Thriller",,1.04,8.1
240,Udaan,2010,Not Rated,134,Drama,,0.01,8.1
241,The Help,2011,PG-13,146,Drama,62.0,169.71,8.1
242,Prisoners,2013,R,153,"Crime, Drama, Mystery",70.0,61.00,8.1
243,Mad Max: Fury Road,2015,R,120,"Action, Adventure, Sci-Fi",90.0,154.06,8.1
244,A Wednesday,2008,Not Rated,104,"Action, Crime, Drama",,,8.1
245,Gran Torino,2008,R,116,Drama,72.0,148.10,8.1
246,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"Adventure, Family, Fantasy",85.0,381.01,8.1
247,Article 15,2019,Not Rated,130,"Crime, Drama, Mystery",,,8.1
248,Hachi: A Dog's Tale,2009,G,93,"Biography, Drama, Family",,#231,8.1
249,Mary and Max,2009,Not Rated,92,"Animation, Comedy, Drama",,#201,8.1
250,How to Train Your Dragon,2010,PG,98,"Animation, Action, Adventure",75.0,217.58,8.1
251,Let's Go! India,2007,Not Rated,153,"Drama, Family, Sport",68.0,1.11,8.1
252,Into the Wild,2007,R,148,"Adventure, Biography, Drama",73.0,18.35,8.1
253,Rang De Basanti,2006,Not Rated,167,"Comedy, Crime, Drama",,2.20,8.1
254,Million Dollar Baby,2004,PG-13,132,"Drama, Sport",86.0,100.49,8.1
255,Hotel Rwanda,2004,PG-13,121,"Biography, Drama, History",79.0,23.53,8.1
256,Ratatouille,2007,G,111,"Animation, Adventure, Comedy",96.0,206.45,8.1
257,Before Sunset,2004,R,80,"Drama, Romance",90.0,5.82,8.1
258,Black,2005,Not Rated,122,Drama,,0.73,8.1
259,Munna Bhai M.B.B.S.,2003,Not Rated,156,"Comedy, Drama",,,8.1
260,Memories of Murder,2003,Not Rated,132,"Crime, Drama, Mystery",82.0,0.01,8.1
261,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,"Action, Adventure, Fantasy",63.0,305.41,8.1
262,Dil Chahta Hai,2001,Not Rated,183,"Comedy, Drama, Romance",,0.30,8.1
263,Catch Me If You Can,2002,PG-13,141,"Biography, Crime, Drama",75.0,164.62,8.1
264,Everything's Gonna Be Great,1998,,107,"Comedy, Drama, Thriller",,,8.1
265,Amores Perros,2000,R,154,"Drama, Thriller",83.0,5.38,8.1
266,Hera Pheri,2000,Not Rated,156,"Action, Comedy, Crime",,,8.1
267,Sarfarosh,1999,Not Rated,174,"Action, Drama, Thriller",,,8.1
268,"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy",79.0,289.92,8.1
269,Lagaan: Once Upon a Time in India,2001,PG,224,"Drama, Musical, Sport",84.0,0.07,8.1
270,The Celebration,1998,R,105,Drama,82.0,1.65,8.1
271,The Iron Giant,1999,PG,86,"Animation, Action, Adventure",85.0,23.16,8.1
272,The Big Lebowski,1998,R,117,"Comedy, Crime",71.0,17.50,8.1
273,In the Mood for Love,2000,PG,98,"Drama, Romance",86.0,2.73,8.1
274,Trainspotting,1996,R,93,Drama,83.0,16.50,8.1
275,Fargo,1996,R,98,"Crime, Thriller",85.0,24.61,8.1
276,The Bandit,1996,Not Rated,128,"Crime, Drama, Thriller",,,8.1
277,Underground,1995,Not Rated,167,"Comedy, Drama, Fantasy",79.0,0.17,8.1
278,La haine,1995,Not Rated,98,"Crime, Drama",,0.31,8.1
279,Before Sunrise,1995,R,101,"Drama, Romance",77.0,5.54,8.1
280,Three Colors: Red,1994,R,99,"Drama, Mystery, Romance",100.0,4.04,8.1
281,In the Name of the Father,1993,R,133,"Biography, Crime, Drama",84.0,25.01,8.1
282,Groundhog Day,1993,PG,101,"Comedy, Drama, Fantasy",72.0,70.91,8.1
283,Farewell My Concubine,1993,R,171,"Drama, Music, Romance",83.0,5.22,8.1
284,Raise the Red Lantern,1991,PG,125,"Drama, Romance",,2.60,8.1
285,Time of the Gypsies,1988,R,142,"Comedy, Crime, Drama",,0.28,8.1
286,Dead Poets Society,1989,PG,128,"Comedy, Drama",79.0,95.86,8.1
287,My Neighbor Totoro,1988,G,86,"Animation, Comedy, Family",86.0,1.11,8.1
288,Stand by Me,1986,R,89,"Adventure, Drama",75.0,52.29,8.1
289,Platoon,1986,R,120,"Drama, War",92.0,138.53,8.1
290,Jean de Florette,1986,PG,120,"Comedy, Drama",,4.94,8.1
291,The Terminator,1984,R,107,"Action, Sci-Fi",84.0,38.40,8.1
292,"Paris, Texas",1984,R,145,Drama,80.0,2.18,8.1
293,Fanny and Alexander,1982,R,188,Drama,100.0,4.97,8.1
294,Blade Runner,1982,R,117,"Action, Drama, Sci-Fi",84.0,32.87,8.1
295,Stalker,1979,Not Rated,162,"Drama, Sci-Fi",,0.23,8.1
296,Autumn Sonata,1978,PG,99,"Drama, Music",,,8.1
297,The Deer Hunter,1978,R,183,"Drama, War",86.0,48.98,8.1
298,Rocky,1976,PG,120,"Drama, Sport",70.0,117.24,8.1
299,Network,1976,R,121,Drama,83.0,#219,8.1
300,The Message,1976,PG,177,"Biography, Drama, History",,,8.1
301,Sholay,1975,Not Rated,162,"Action, Adventure, Comedy",,,8.1
302,Jaws,1975,PG,124,"Adventure, Thriller",87.0,260.00,8.1
303,Barry Lyndon,1975,PG,185,"Adventure, Drama, War",89.0,#191,8.1
304,A Woman Under the Influence,1974,R,155,"Drama, Romance",88.0,13.34,8.1
305,Paper Moon,1973,PG,102,"Comedy, Crime, Drama",77.0,30.93,8.1
306,The Exorcist,1973,R,122,Horror,81.0,232.91,8.1
307,Anand,1971,Not Rated,122,"Drama, Musical",,,8.1
308,Cool Hand Luke,1967,GP,127,"Crime, Drama",92.0,16.22,8.1
309,Persona,1966,Not Rated,83,"Drama, Thriller",86.0,#243,8.1
310,Andrei Rublev,1966,R,205,"Biography, Drama, History",,0.10,8.1
311,The Sound of Music,1965,G,172,"Biography, Drama, Family",63.0,163.21,8.1
312,The Battle of Algiers,1966,Not Rated,121,"Drama, War",96.0,0.06,8.1
313,The Man Who Shot Liberty Valance,1962,Approved,123,"Drama, Western",94.0,,8.1
314,The Virgin Spring,1960,Not Rated,89,Drama,,1.53,8.1
315,Inherit the Wind,1960,Passed,128,"Biography, Drama, History",75.0,,8.1
316,The 400 Blows,1959,Not Rated,99,"Crime, Drama",,#239,8.1
317,Ben-Hur,1959,G,212,"Adventure, Drama",90.0,74.70,8.1
318,The Hidden Fortress,1958,Not Rated,126,"Action, Adventure, Drama",89.0,,8.1
319,Wild Strawberries,1957,Not Rated,91,"Drama, Romance",88.0,#184,8.1
320,The Seventh Seal,1957,Not Rated,96,"Drama, Fantasy",88.0,#199,8.1
321,Nights of Cabiria,1957,Not Rated,110,Drama,,0.75,8.1
322,Throne of Blood,1957,Not Rated,110,"Drama, History",,,8.1
323,Rififi,1955,Not Rated,118,"Crime, Drama, Thriller",97.0,0.06,8.1
324,On the Waterfront,1954,Approved,108,"Crime, Drama, Thriller",91.0,9.60,8.1
325,Diabolique,1955,Not Rated,117,"Crime, Drama, Horror",,1.09,8.1
326,Ace in the Hole,1951,Approved,111,"Drama, Film-Noir",72.0,3.97,8.1
327,White Heat,1949,Not Rated,114,"Action, Crime, Drama",,,8.1
328,The Third Man,1949,Approved,93,"Film-Noir, Mystery, Thriller",97.0,0.45,8.1
329,The Red Shoes,1948,Not Rated,135,"Drama, Music, Romance",,10.90,8.1
330,The Best Years of Our Lives,1946,Approved,170,"Drama, Romance, War",93.0,23.65,8.1
331,Rebecca,1940,Approved,130,"Drama, Film-Noir, Mystery",86.0,4.36,8.1
332,The Grapes of Wrath,1940,Passed,129,Drama,96.0,0.06,8.1
333,The Wizard of Oz,1939,PG,102,"Adventure, Family, Fantasy",92.0,2.08,8.1
334,Mr. Smith Goes to Washington,1939,Passed,129,"Comedy, Drama",73.0,9.60,8.1
335,The Grand Illusion,1937,Not Rated,113,"Drama, War",,0.17,8.1
